Chat List|Чат Список
Message id|Номер Листа
User Name|Ім`я користувача
Title|Заголовок
Message|Повідомлення
Created At|Дата створення
Register|Зареєструватися
Login|Логін
Submit|Надіслати
Password|Пароль
Email|Електронна пошта
Change The Language|Змінити мову
Logout|Вийти
Edit|Редагувати
Delete|Видалити
Save|Зберегти
Back|Назад
Yes, I want to delete|Так, я хочу видалити
No, I don't want to delete|Ні, я не хочу видаляти
Are you sure you want to delete the message?|Ви впевнені, що хочете видалити повідомлення?
Message length must be not less then 2 characters!|Повідомлення має містити мінімум 2 символи!
Name must be from 2 to 140 chars!|Імя має бути від 2 до 140 символів!
Title must be from 10 to 140 chars!|Заголовок має бути від 10 до 140 символів!
